"wc","ok","http","total","canonical_slug"
"1020","0","0","0",""
"103126","0","0","0",""
"103688","0","0","0",""
"103690","0","0","0",""
"103691","0","0","0",""
"103694","0","0","0",""
"103695","0","0","0",""
"103698","0","0","0",""
"103699","0","0","0",""
"103700","0","0","0",""
"103701","0","0","0",""
"103702","0","0","0",""
"103705","0","0","0",""
"103707","0","0","0",""
"103708","0","0","0",""
"103709","0","0","0",""
"103712","0","0","0",""
"103732","0","0","0",""
"103733","0","0","0",""
"103734","0","0","0",""
"103736","0","0","0",""
"103739","0","0","0",""
"103742","0","0","0",""
"103743","0","0","0",""
"103744","0","0","0",""
"103745","0","0","0",""
"103746","0","0","0",""
"103747","0","0","0",""
"103751","0","0","0",""
"103818","0","0","0",""
"103917","0","0","0",""
"104090","0","0","0",""
"104191","0","0","0",""
"104228","0","0","0",""
"108327","0","0","0",""
"108775","0","0","0",""
"1095","0","0","0",""
"109715","0","0","0",""
"142613","0","0","0",""
"144038","0","0","0",""
"144040","0","0","0",""
"144041","0","0","0",""
"144042","0","0","0",""
"144043","0","0","0",""
"144044","0","0","0",""
"144048","0","0","0",""
"144049","0","0","0",""
"144050","0","0","0",""
"144051","0","0","0",""
"144052","0","0","0",""
"144053","0","0","0",""
"144054","0","0","0",""
"144055","0","0","0",""
"144058","0","0","0",""
"144059","0","0","0",""
"144060","0","0","0",""
"144061","0","0","0",""
"144062","0","0","0",""
"144063","0","0","0",""
"144065","0","0","0",""
"144066","0","0","0",""
"144067","0","0","0",""
"144068","0","0","0",""
"144069","0","0","0",""
"144070","0","0","0",""
"1448","0","0","0",""
"164080","0","0","0",""
"164859","0","0","0",""
"164866","0","0","0",""
"165716","0","0","0",""
"166247","0","0","0",""
"166251","0","0","0",""
"166271","0","0","0",""
"171237","0","0","0",""
"57","0","0","0",""
