wc,ok,http,self_present,aggs,error
57,0,0,0,0,"AggregateError"
1020,0,0,0,0,"AggregateError"
1095,0,0,0,0,"AggregateError"
1448,0,0,0,0,"AggregateError"
103126,0,0,0,0,"AggregateError"
103688,0,0,0,0,"AggregateError"
103690,0,0,0,0,"AggregateError"
103691,0,0,0,0,"AggregateError"
103694,0,0,0,0,"AggregateError"
103695,0,0,0,0,"AggregateError"
103698,0,0,0,0,"AggregateError"
103699,0,0,0,0,"AggregateError"
103700,0,0,0,0,"AggregateError"
103701,0,0,0,0,"AggregateError"
103702,0,0,0,0,"AggregateError"
103705,0,0,0,0,"AggregateError"
103707,0,0,0,0,"AggregateError"
103708,0,0,0,0,"AggregateError"
103709,0,0,0,0,"AggregateError"
103712,0,0,0,0,"AggregateError"
103732,0,0,0,0,"AggregateError"
103733,0,0,0,0,"AggregateError"
103734,0,0,0,0,"AggregateError"
103736,0,0,0,0,"AggregateError"
103739,0,0,0,0,"AggregateError"
103742,0,0,0,0,"AggregateError"
103743,0,0,0,0,"AggregateError"
103744,0,0,0,0,"AggregateError"
103745,0,0,0,0,"AggregateError"
103746,0,0,0,0,"AggregateError"
103747,0,0,0,0,"AggregateError"
103751,0,0,0,0,"AggregateError"
103818,0,0,0,0,"AggregateError"
103917,0,0,0,0,"AggregateError"
104090,0,0,0,0,"AggregateError"
104191,0,0,0,0,"AggregateError"
104228,0,0,0,0,"AggregateError"
108327,0,0,0,0,"AggregateError"
108775,0,0,0,0,"AggregateError"
109715,0,0,0,0,"AggregateError"
142613,0,0,0,0,"AggregateError"
144038,0,0,0,0,"AggregateError"
144040,0,0,0,0,"AggregateError"
144041,0,0,0,0,"AggregateError"
144042,0,0,0,0,"AggregateError"
144043,0,0,0,0,"AggregateError"
144044,0,0,0,0,"AggregateError"
144048,0,0,0,0,"AggregateError"
144049,0,0,0,0,"AggregateError"
144050,0,0,0,0,"AggregateError"
144051,0,0,0,0,"AggregateError"
144052,0,0,0,0,"AggregateError"
144053,0,0,0,0,"AggregateError"
144054,0,0,0,0,"AggregateError"
144055,0,0,0,0,"AggregateError"
144058,0,0,0,0,"AggregateError"
144059,0,0,0,0,"AggregateError"
144060,0,0,0,0,"AggregateError"
144061,0,0,0,0,"AggregateError"
144062,0,0,0,0,"AggregateError"
144063,0,0,0,0,"AggregateError"
144065,0,0,0,0,"AggregateError"
144066,0,0,0,0,"AggregateError"
144067,0,0,0,0,"AggregateError"
144068,0,0,0,0,"AggregateError"
144069,0,0,0,0,"AggregateError"
144070,0,0,0,0,"AggregateError"
164080,0,0,0,0,"AggregateError"
164859,0,0,0,0,"AggregateError"
164866,0,0,0,0,"AggregateError"
165716,0,0,0,0,"AggregateError"
166247,0,0,0,0,"AggregateError"
166251,0,0,0,0,"AggregateError"
166271,0,0,0,0,"AggregateError"
171237,0,0,0,0,"AggregateError"
