"id","slug","title","depth"
"456","service-product-anne-cocuk","Anne & Çocuk","2"
"458","service-product-elektronik","Elektronik","2"
"460","service-product-ev-yasam","Ev & Mobilya","2"
"462","service-product-kozmetik","Kozmetik","2"
"464","service-product-spor-outdoor","Spor & Outdoor","2"
"465","service-product-supermarket","Süpermarket","2"
"827","service-product-ty-c1020","Body","3"
"2247","service-product-ty-c103126","Bebek Arabası","5"
"1301","service-product-ty-c103688","Akülü ve Pedallı Araçlar","4"
"2348","service-product-ty-c103690","Pedallı Oyuncak Araba","5"
"2349","service-product-ty-c103691","Bahçe & Açıkhava Oyuncakları","5"
"2351","service-product-ty-c103694","Bebek & Aktivite Oyuncakları","5"
"2352","service-product-ty-c103695","Dişlik & Çıngırak","5"
"2354","service-product-ty-c103698","Banyo Oyuncakları","5"
"1303","service-product-ty-c103699","Hobi & Figür Oyuncakları","4"
"1305","service-product-ty-c103700","Ahşap Oyuncak","4"
"1306","service-product-ty-c103701","Oyun Hamuru","4"
"1307","service-product-ty-c103702","Diğer Oyuncaklar","4"
"2355","service-product-ty-c103705","Dönence, Projektör","5"
"2357","service-product-ty-c103707","Puset & Mama Sandalyesi Oyuncağı","5"
"2358","service-product-ty-c103708","Sallanan Oyuncaklar","5"
"2359","service-product-ty-c103709","Bebek Uyku Arkadaşı","5"
"2360","service-product-ty-c103712","Spor Oyuncakları","5"
"2366","service-product-ty-c103732","Seyahat Sistem Bebek Arabası","5"
"2367","service-product-ty-c103733","3 Tekerlekli Bebek Arabası & Bisiklet","5"
"2368","service-product-ty-c103734","İkiz Bebek Arabası","5"
"1320","service-product-ty-c103736","Peluş Oyuncak","4"
"2370","service-product-ty-c103739","Oto Koltuğu Aksesuarları","5"
"1324","service-product-ty-c103742","Güvenlik","4"
"2371","service-product-ty-c103743","Arabada Güvenlik","5"
"2372","service-product-ty-c103744","Kapı & Merdiven Güvenlik Kapıları","5"
"2373","service-product-ty-c103745","Koruyucu Tekstil","5"
"2374","service-product-ty-c103746","Koruyucu ve Kilit","5"
"2375","service-product-ty-c103747","Telsiz & Kamera & Dedektör","5"
"1326","service-product-ty-c103751","Bebek Odası Aksesuarları","4"
"1335","service-product-ty-c103818","Kutu Oyunu","4"
"1358","service-product-ty-c103917","Çocuk Yapboz (Puzzle)","4"
"850","service-product-ty-c104090","Motosiklet Montu","3"
"860","service-product-ty-c104191","Kostüm","3"
"1459","service-product-ty-c104228","Oyuncak Silah & Su Tabancası","4"
"1670","service-product-ty-c108327","Yapı Oyuncakları","4"
"913","service-product-ty-c108775","Polo Yaka T-Shirt, Polo Yaka T-Shirt Erkek Giyim","3"
"920","service-product-ty-c1095","Kimono, Kimono Elbise","3"
"3044","service-product-ty-c109715","Oyun Çadırı","5"
"947","service-product-ty-c142613","İş Elbiseleri","3"
"1915","service-product-ty-c144038","Oyuncak Araçlar","4"
"3426","service-product-ty-c144040","Oyuncak Otobüs ve Minibüs","5"
"3427","service-product-ty-c144041","Oyuncak Kamyon ve İş Makinesi","5"
"3428","service-product-ty-c144042","Oyuncak Helikopter ve Uçak","5"
"3429","service-product-ty-c144043","Oyuncak Tren ve Demiryolu","5"
"3430","service-product-ty-c144044","Araç Seti","5"
"1916","service-product-ty-c144048","Bahçe & Dış Mekan Oyuncakları","4"
"3434","service-product-ty-c144049","Top Havuzu ve Top","5"
"3435","service-product-ty-c144050","Oyun Parkları Çocuklar İçin Eğlenceli Seçenekler!","5"
"3436","service-product-ty-c144051","Çocuk Salıncak ve Çocuk Tavan Salıncağı","5"
"3437","service-product-ty-c144052","Eğlenceli Kaydırak","5"
"3438","service-product-ty-c144053","Emekleme Oyuncakları","5"
"3439","service-product-ty-c144054","Klasik Kukla","5"
"3440","service-product-ty-c144055","Amigurumi Oyuncaklarla Eğlenceli Anlar","5"
"3443","service-product-ty-c144058","Hayvan Oyuncakları & Hayvan Figürleri","5"
"3444","service-product-ty-c144059","Karakter Figür Oyuncak","5"
"3445","service-product-ty-c144060","Diğer Figür Oyuncaklar","5"
"3446","service-product-ty-c144061","Sürpriz Oyuncak Figürü","5"
"1917","service-product-ty-c144062","Oyun Seti","4"
"3447","service-product-ty-c144063","Alışveriş Seti","5"
"3449","service-product-ty-c144065","Oyuncak Bilim Seti","5"
"3450","service-product-ty-c144066","Meslek Seti","5"
"3451","service-product-ty-c144067","Müzik Oyuncakları","5"
"3452","service-product-ty-c144068","Bez Bebek","5"
"3453","service-product-ty-c144069","Et Bebek","5"
"3454","service-product-ty-c144070","Model Bebek","5"
"960","service-product-ty-c1448","Bebek Temizleme Pamugu Modelleri","3"
"3863","service-product-ty-c164080","Mama Sandalyesi Aksesuarı","5"
"3890","service-product-ty-c164859","Oyuncak Bebek Aksesuarları","5"
"3893","service-product-ty-c164866","Bebek Arabası Aksesuar","5"
"3928","service-product-ty-c165716","Akülü Araç Aksesuarı","5"
"3950","service-product-ty-c166247","Onarılmış Bebek Arabası & Puset","5"
"3951","service-product-ty-c166251","Onarılmış Oto Koltuğu","5"
"2083","service-product-ty-c166271","Oto Koltuğu ve Aksesuarları","4"
"2085","service-product-ty-c171237","Mama Sandalyesi ve Aksesuarları","4"
"979","service-product-ty-c57","Gelinlik","3"
