capacity_max|Maximum capacity (number of people)|number|person
city|Şehir|string|
cuisine|Cuisine type|enum|
offer_variant|Offer/policy variant (e.g., Satılık, Kiralık, Turistik Günlük Kiralık, Devren). Not a category; used as listing policy.|enum|
product_brand|Marka|string|
product_condition|Ürün durumu|enum|
product_ty_attr_1|Bel|enum|
product_ty_attr_10|Kasa Çapı|enum|
product_ty_attr_1003|Trendyol Özellik 1003|enum|
product_ty_attr_1004|Trendyol Özellik 1004|enum|
product_ty_attr_1005|Trendyol Özellik 1005|enum|
product_ty_attr_1006|Trendyol Özellik 1006|enum|
product_ty_attr_1007|Trendyol Özellik 1007|enum|
product_ty_attr_1008|Trendyol Özellik 1008|enum|
product_ty_attr_101|Cep|enum|
product_ty_attr_1014|Trendyol Özellik 1014|enum|
product_ty_attr_1016|Kısırlaştırılmış|enum|
product_ty_attr_1017|Tane Şekli|enum|
product_ty_attr_1018|Kum Türü|enum|
product_ty_attr_1019|Koku Tipi|enum|
product_ty_attr_1020|Trendyol Özellik 1020|enum|
product_ty_attr_1024|Hız Endeksi|enum|
product_ty_attr_1025|Yük Endeksi|enum|
product_ty_attr_1029|Trendyol Özellik 1029|enum|
product_ty_attr_103|Cihaz Ağırlığı|enum|
product_ty_attr_1030|Trendyol Özellik 1030|enum|
product_ty_attr_1032|RGB Aydınlatma|enum|
product_ty_attr_1034|Batarya Tipi|enum|
product_ty_attr_1035|Switch Türü|enum|
product_ty_attr_1036|Ürün İçeriği|enum|
product_ty_attr_1037|Trendyol Özellik 1037|enum|
product_ty_attr_1038|Trendyol Özellik 1038|enum|
product_ty_attr_1039|Trendyol Özellik 1039|enum|
product_ty_attr_104|Cihaz Tipi|enum|
product_ty_attr_1040|Trendyol Özellik 1040|enum|
product_ty_attr_1041|Trendyol Özellik 1041|enum|
product_ty_attr_1042|Trendyol Özellik 1042|enum|
product_ty_attr_1044|Trendyol Özellik 1044|enum|
product_ty_attr_1046|Trendyol Özellik 1046|enum|
product_ty_attr_1047|Trendyol Özellik 1047|enum|
product_ty_attr_1048|Trendyol Özellik 1048|enum|
product_ty_attr_1049|Trendyol Özellik 1049|enum|
product_ty_attr_1051|Trendyol Özellik 1051|enum|
product_ty_attr_1052|Kablosuz Özelliği|enum|
product_ty_attr_1053|Trendyol Özellik 1053|enum|
product_ty_attr_1054|Trendyol Özellik 1054|enum|
product_ty_attr_1055|Trendyol Özellik 1055|enum|
product_ty_attr_1056|Trendyol Özellik 1056|enum|
product_ty_attr_1058|Kılıf Tipi|enum|
product_ty_attr_1059|Uyumlu Marka|enum|
product_ty_attr_106|Çekmece Sayısı|enum|
product_ty_attr_1063|Uyumlu Model|enum|
product_ty_attr_1064|USB Çıkış Sayısı|enum|
product_ty_attr_1065|Hızlı Şarj|enum|
product_ty_attr_1066|Uyumlu Telefon Modeli|enum|
product_ty_attr_1067|Dinleme Süresi|enum|
product_ty_attr_1068|Trendyol Özellik 1068|enum|
product_ty_attr_1069|Sim Kart Türü|enum|
product_ty_attr_107|Çerçeve Formu|enum|
product_ty_attr_1071|Setli/Tekil|enum|
product_ty_attr_1073|Çıkış Ucu Uzunluğu|enum|
product_ty_attr_1074|Spiral Durumu|enum|
product_ty_attr_1075|Yaşlanma Karşıtı|enum|
product_ty_attr_1078|Trendyol Özellik 1078|enum|
product_ty_attr_1079|Kapatma Tipi|enum|
product_ty_attr_108|Çerçeve Materyali|enum|
product_ty_attr_1080|Trendyol Özellik 1080|enum|
product_ty_attr_1081|Taşıma Çantası|enum|
product_ty_attr_1083|Trendyol Özellik 1083|enum|
product_ty_attr_1084|Trendyol Özellik 1084|enum|
product_ty_attr_1085|Trendyol Özellik 1085|enum|
product_ty_attr_1086|Trendyol Özellik 1086|enum|
product_ty_attr_1087|Trendyol Özellik 1087|enum|
product_ty_attr_1088|Kesme Genişliği|enum|
product_ty_attr_1089|Trendyol Özellik 1089|enum|
product_ty_attr_109|Çivi Tipi|enum|
product_ty_attr_1090|Trendyol Özellik 1090|enum|
product_ty_attr_1091|Ders|enum|
product_ty_attr_1093|Kullanım Türü|enum|
product_ty_attr_1094|Adet|enum|
product_ty_attr_1095|Çiçek Türü|enum|
product_ty_attr_1096|Trendyol Özellik 1096|enum|
product_ty_attr_1097|Hav Yüksekliği|enum|
product_ty_attr_1098|Aksesuar Tipi|enum|
product_ty_attr_1099|Işık Geçirgenliği|enum|
product_ty_attr_11|Kasa Tipi|enum|
product_ty_attr_110|Çözünürlük|enum|
product_ty_attr_1100|Trendyol Özellik 1100|enum|
product_ty_attr_1101|Pile|enum|
product_ty_attr_1102|Saçak Tipi|enum|
product_ty_attr_1103|Yerden Yüksekliği|enum|
product_ty_attr_1104|Trendyol Özellik 1104|enum|
product_ty_attr_1105|Gürültü Seviyesi|enum|
product_ty_attr_1106|İç Materyal|enum|
product_ty_attr_1107|Koku Aroması|enum|
product_ty_attr_1108|Sezon|enum|
product_ty_attr_111|Çözünürlük Teknolojisi|enum|
product_ty_attr_1110|Koku Türü|enum|
product_ty_attr_1111|Kozmetik Durum|enum|
product_ty_attr_1118|Trendyol Özellik 1118|enum|
product_ty_attr_112|Trendyol Özellik 112|enum|
product_ty_attr_1120|Trendyol Özellik 1120|enum|
product_ty_attr_1121|Servis|enum|
product_ty_attr_1123|Akım Koruma|enum|
product_ty_attr_1124|Trendyol Özellik 1124|enum|
product_ty_attr_1125|Silinebilirlik|enum|
product_ty_attr_1126|Trendyol Özellik 1126|enum|
product_ty_attr_1127|Trendyol Özellik 1127|enum|
product_ty_attr_1128|Parlaklık|enum|
product_ty_attr_1129|Trendyol Özellik 1129|enum|
product_ty_attr_113|Davlumbaz Şekli|enum|
product_ty_attr_1130|Trendyol Özellik 1130|enum|
product_ty_attr_1132|Trendyol Özellik 1132|enum|
product_ty_attr_1136|Trendyol Özellik 1136|enum|
product_ty_attr_1137|Trendyol Özellik 1137|enum|
product_ty_attr_1138|Trendyol Özellik 1138|enum|
product_ty_attr_1139|Kat Sayısı|enum|
product_ty_attr_1140|Rulo Sayısı|enum|
product_ty_attr_1141|Voltaj|enum|
product_ty_attr_1142|Frekans|enum|
product_ty_attr_1143|Priz Tipi|enum|
product_ty_attr_1144|Trendyol Özellik 1144|enum|
product_ty_attr_1145|Kumaş Cinsi/Rengi|enum|
product_ty_attr_1146|Suya Dayanıklılık|enum|
product_ty_attr_1147|Trendyol Özellik 1147|enum|
product_ty_attr_115|Derinlik|enum|
